game_id,scene_id,character_id,name,title,source
re,re_01,16,Jill Valentine,Opening FMV,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_01,6,Albert Wesker,Opening FMV,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_01,15,Chris Redfield,Opening FMV,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_02,16,Jill Valentine,Inside The Mansion,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_02,17,Barry Burton,Inside The Mansion,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_02,6,Albert Wesker,Inside The Mansion,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_03,17,Barry Burton,The Dining Room,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_04,16,Jill Valentine,Mysterious Puddle,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_04,17,Barry Burton,Mysterious Puddle,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_04,6,Albert Wesker,Mysterious Puddle,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_05,16,Jill Valentine,Researcher's Will Event (Note: This scene will only happen if you go,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_05,17,Barry Burton,Researcher's Will Event (Note: This scene will only happen if you go,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_05,18,Brad Vickers,Researcher's Will Event (Note: This scene will only happen if you go,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_07,16,Jill Valentine,Muffled Conversation (Note: You must have heard cinema 7a to see,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_07,17,Barry Burton,Muffled Conversation (Note: You must have heard cinema 7a to see,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_07,6,Albert Wesker,Muffled Conversation (Note: You must have heard cinema 7a to see,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_08,16,Jill Valentine,Reunite With Wesker,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_08,18,Brad Vickers,Reunite With Wesker,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_08,6,Albert Wesker,Reunite With Wesker,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_10,16,Jill Valentine,Snake Confrontation,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_10,17,Barry Burton,Snake Confrontation,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_12,16,Jill Valentine,Trust Barry?,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_12,17,Barry Burton,Trust Barry?,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_14,16,Jill Valentine,Slideshow,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_14,17,Barry Burton,Slideshow,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_14,6,Albert Wesker,Slideshow,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_14,15,Chris Redfield,Slideshow,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_15,16,Jill Valentine,Tyrant CGI,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_15,17,Barry Burton,Tyrant CGI,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_15,6,Albert Wesker,Tyrant CGI,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_15,15,Chris Redfield,Tyrant CGI,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_16,16,Jill Valentine,Radio Transmission #3,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_16,17,Barry Burton,Radio Transmission #3,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_16,18,Brad Vickers,Radio Transmission #3,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_16,15,Chris Redfield,Radio Transmission #3,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_18,16,Jill Valentine,Opening FMV,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_18,6,Albert Wesker,Opening FMV,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_18,15,Chris Redfield,Opening FMV,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_19,16,Jill Valentine,Inside the Mansion,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_19,6,Albert Wesker,Inside the Mansion,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_19,15,Chris Redfield,Inside the Mansion,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_21,20,Rebecca Chambers,Searching for Wesker,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_21,15,Chris Redfield,Searching for Wesker,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_22,20,Rebecca Chambers,Moonlight Sonata,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_22,15,Chris Redfield,Moonlight Sonata,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_23,18,Brad Vickers,Meet Yawn the Giant Snake,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_23,20,Rebecca Chambers,Meet Yawn the Giant Snake,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_23,15,Chris Redfield,Meet Yawn the Giant Snake,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_24,20,Rebecca Chambers,Draining the Pool CGI,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_24,15,Chris Redfield,Draining the Pool CGI,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_25,18,Brad Vickers,Reunite with Wesker,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_25,6,Albert Wesker,Reunite with Wesker,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_25,15,Chris Redfield,Reunite with Wesker,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_26,20,Rebecca Chambers,Hunter CGI,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_26,15,Chris Redfield,Hunter CGI,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_29,15,Chris Redfield,Meet Enrico,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
re,re_31,16,Jill Valentine,Slideshow,https://gamefaqs.gamespot.com/ps/198462-resident-evil-directors-cut/faqs/20010
